Time	A	B	C	D	E	F	G	H	I	J
12/15/1992	0.018974216	0.04206501	0.075033201	0.06950449	0.539921841	0.26936148	0.301669854	0.242937853	0	0.005477815
1/15/1993	0.018881357	0.041427661	0.069721116	0.064183572	0.579284464	0.311974933	0.338189852	0.183615819	0	0
2/15/1993	0.016590832	0.041427661	0.066733068	0.060525441	0.579284464	0.311974933	0.338189852	0.161016949	0	0.001337112
3/15/1993	0.016049153	0.037603569	0.067065073	0.064848686	0.579284464	0.311974933	0.338189852	0.307909605	0	0.00487038
4/15/1993	0.015956294	0.059910771	0.07436919	0.073162621	0.579284464	0.311974933	0.338189852	0.466101695	0.001978239	0.00956747
5/15/1993	0.017937289	0.108349267	0.081009296	0.079148653	0.579284464	0.311974933	0.338189852	0.666666667	0.091658424	0.013758759
6/15/1993	0.01174668	0.145952836	0.08001328	0.075157965	0.579284464	0.311974933	0.338189852	0.785310734	0.315529179	0.016319077
7/15/1993	0.007490637	0.177182919	0.073705179	0.066511473	0.579284464	0.311974933	0.338189852	0.920903955	0.648532806	0.016530478
8/15/1993	0.007072771	0.194391332	0.070053121	0.062188227	0.579284464	0.311974933	0.338189852	0.901129944	0.602703594	0.014141075
9/15/1993	0.005942984	0.170172084	0.065737052	0.05686731	0.579284464	0.311974933	0.338189852	0.686440678	0.064292779	0.013738117
10/15/1993	0.008620423	0.108986616	0.065737052	0.05686731	0.579284464	0.311974933	0.338189852	0.516949153	0.01153973	0.014954027
11/15/1993	0.008929953	0.069471001	0.057436919	0.052211506	0.579284464	0.311974933	0.338189852	0.367231638	0	0.01912265
12/15/1993	0.008109698	0.063097514	0.042164675	0.034585966	0.579284464	0.311974933	0.338189852	0.237288136	0	0.027301829
1/15/1994	0.009394249	0.054174634	0.0375166	0.034918523	0.633776695	0.351916147	0.374220806	0.008474576	0	0.037695728
2/15/1994	0.010802612	0.061185468	0.040504648	0.036913868	0.633776695	0.351916147	0.374220806	0.110169492	0	0.052218524
3/15/1994	0.00961092	0.077756533	0.039840637	0.032258065	0.633776695	0.351916147	0.374220806	0.34180791	0	0.069265309
4/15/1994	0.008434705	0.096876992	0.046480744	0.043232458	0.633776695	0.351916147	0.374220806	0.52259887	0.061984833	0.08996894
5/15/1994	0.008202557	0.112173359	0.051792829	0.048553375	0.633776695	0.351916147	0.374220806	0.618644068	0.106495219	0.110046238
6/15/1994	0.007181106	0.164435946	0.061088977	0.063518457	0.633776695	0.351916147	0.374220806	0.816384181	0.439498846	0.129340044
7/15/1994	0.009827592	0.192479286	0.071381142	0.074825407	0.633776695	0.351916147	0.374220806	0.867231638	0.519287834	0.146668437
8/15/1994	0.010787136	0.20012747	0.084329349	0.095443964	0.633776695	0.351916147	0.374220806	0.822033898	0.321134191	0.160214254
9/15/1994	0.009874021	0.175908222	0.07934927	0.088792817	0.633776695	0.351916147	0.374220806	0.771186441	0.251566106	0.175506081
10/15/1994	0.013371715	0.113448056	0.072045153	0.074825407	0.633776695	0.351916147	0.374220806	0.596045198	0.017474448	0.195180142
