id,name,latitude,longitude,capacity,landmark,online_date
131,Lincoln Ave & Belmont Ave,41.939365,-87.66839,15,140,2013-09-23 05:00:00
306,Sheridan Rd & Buena Ave,41.9584,-87.65423,15,374,2013-09-23 05:00:00
323,Sheridan Rd & Lawrence Ave,41.969517,-87.65469,15,384,2013-09-23 05:00:00
325,Clark St & Winnemac Ave,41.973385,-87.668365,15,392,2013-09-23 05:00:00
307,Southport Ave & Clybourn Ave,41.921005,-87.66325,15,186,2013-09-25 05:00:00
316,Damen Ave & Sunnyside Ave,41.96325,-87.67926,19,315,2013-09-25 05:00:00
327,Sheffield Ave & Webster Ave,41.921688,-87.65372,19,188,2013-09-25 05:00:00
328,Ellis Ave & 58th St,41.788746,-87.60133,15,365,2013-09-25 05:00:00
329,Lake Shore Dr & Diversey Pkwy,41.932686,-87.63625,15,347,2013-09-25 05:00:00
319,Greenview Ave & Diversey Pkwy,41.932594,-87.66594,15,294,2013-09-26 05:00:00
330,Lincoln Ave & Addison St,41.946175,-87.67331,19,77,2013-09-26 05:00:00
308,Seeley Ave & Roscoe St,41.9434,-87.67962,11,144,2013-09-27 05:00:00
314,Ravenswood Ave & Berteau Ave,41.95792,-87.67357,15,251,2013-09-27 05:00:00
326,Clark St & Leland Ave,41.967094,-87.66743,11,239,2013-09-27 05:00:00
333,Ashland Ave & Blackhawk St,41.907066,-87.66725,15,224,2013-09-27 05:00:00
334,Lake Shore Dr & Belmont Ave,41.940777,-87.63919,19,233,2013-09-27 05:00:00
337,Clark St & Chicago Ave,41.896545,-87.63093,19,303,2013-09-27 05:00:00
331,Halsted St & Blackhawk St,41.90854,-87.64857,19,176,2013-09-28 05:00:00
332,Halsted St & Diversey Pkwy,41.933342,-87.64875,15,208,2013-09-28 05:00:00
338,Calumet Ave & 18th St,41.857613,-87.61941,15,102,2013-09-28 05:00:00
339,Emerald Ave & 31st St,41.8382,-87.64514,11,404,2013-09-28 05:00:00
262,Halsted St & 37th St,41.827072,-87.6458,11,414,2013-10-01 05:00:00
298,Lincoln Ave & Belle Plaine Ave,41.95593,-87.67926,15,252,2013-10-01 05:00:00
324,Stockton Dr & Wrightwood Ave,41.93132,-87.63874,15,276,2013-10-03 05:00:00
290,Kedzie Ave & Palmer Ct,41.921524,-87.70732,15,292,2013-10-09 05:00:00
341,Adler Planetarium,41.866096,-87.60727,19,431,2013-10-09 05:00:00
344,Wolcott Ave & Lawrence Ave,41.96864,-87.67634,15,26,2013-10-09 05:00:00
345,Lake Park Ave & 56th St,41.793243,-87.58778,15,119,2013-10-09 05:00:00
346,Ada St & Washington Blvd,41.88283,-87.66121,15,353,2013-10-10 05:00:00
342,Wolcott Ave & Polk St,41.87126,-87.67369,15,284,2013-10-12 05:00:00
347,Ashland Ave & Grace St,41.950687,-87.6687,15,319,2013-10-12 05:00:00
348,California Ave & 21st St,41.854015,-87.69544,15,96,2013-10-14 05:00:00
335,Calumet Ave & 35th St,41.83138,-87.618034,15,345,2013-10-17 05:00:00
336,Cottage Grove Ave & 47th St,41.809856,-87.60676,15,422,2013-10-17 05:00:00
351,Cottage Grove Ave & 51st St,41.80304,-87.60661,15,440,2013-10-17 05:00:00
350,Ashland Ave & Chicago Ave,41.895966,-87.66775,15,247,2013-10-22 05:00:00
340,Clark St & Wrightwood Ave,41.929546,-87.64312,15,209,2013-10-24 05:00:00
343,Racine Ave & Wrightwood Ave,41.928886,-87.65897,15,297,2013-10-24 05:00:00
349,Halsted St & Wrightwood Ave,41.929142,-87.64908,15,210,2013-10-28 05:00:00
127,Lincoln Ave & Fullerton Ave,41.925903,-87.64926,15,131,2013-10-29 05:00:00
